sentence_id,chunk_index,en,ko
1,0,"Conflicts often happen","갈등은 종종 일어난다"
1,1,"in human relationships.","인간관계 안에서"
2,0,"They can occur","그것들은 발생할 수 있다"
2,1,"between friends,","친구들 사이에서,"
2,2,"family members,","가족 구성원들 사이에서,"
2,3,"or classmates.","또는 반 친구들 사이에서"
3,0,"Most conflicts begin","대부분의 갈등은 시작된다"
3,1,"because of misunderstandings,","오해 때문에,"
3,2,"different opinions,","다른 의견들 때문에,"
3,3,"or strong emotions","또는 강한 감정들 때문에"
3,4,"such as anger","분노와 같은"
3,5,"or sadness.","또는 슬픔과 같은"
4,0,"In psychology,","심리학에서,"
4,1,"conflicts are seen","갈등은 여겨진다"
4,2,"as a natural part","자연스러운 부분으로"
4,3,"of human interaction,","인간 상호작용의,"
4,4,"not something unusual","이상한 어떤 것이 아니라"
4,5,"or wrong.","또는 잘못된 것이"
5,0,"Many conflicts grow bigger","많은 갈등은 더 커진다"
5,1,"when people do not express","사람들이 표현하지 않을 때"
5,2,"their feelings","그들의 감정을"
5,3,"clearly.","분명하게"
6,0,"For example,","예를 들어,"
6,1,"one person may feel hurt","한 사람은 상처받았다고 느낄 수 있지만"
6,2,"but does not say","그러나 말하지 않는다"
6,3,"anything.","아무것도"
7,0,"Over time,","시간이 지나면서,"
7,1,"this feeling","이 감정은"
7,2,"can turn into","~로 바뀔 수 있다"
7,3,"anger.","분노로"
8,0,"Psychologists explain","심리학자들은 설명한다"
8,1,"that emotions influence","감정이 영향을 미친다는 것을"
8,2,"how we think","우리가 어떻게 생각하고"
8,3,"and act.","그리고 행동하는지에"
9,0,"When emotions","감정이"
9,1,"are not shared,","공유되지 않을 때,"
9,2,"people may guess","사람들은 추측할 수 있다"
9,3,"others’ intentions","다른 사람들의 의도를"
9,4,"incorrectly,","잘못되게,"
9,5,"which can cause","그리고 그것은 야기할 수 있다"
9,6,"more problems.","더 많은 문제를"
10,0,"One important way","하나의 중요한 방법은"
10,1,"to solve conflicts","갈등을 해결하기 위한"
10,2,"is communication.","의사소통이다"
11,0,"Talking honestly","솔직하게 말하는 것은"
11,1,"and calmly","그리고 차분하게"
11,2,"helps people understand","사람들이 이해하도록 돕는다"
11,3,"each other’s feelings","서로의 감정을"
11,4,"and thoughts.","그리고 생각을"
12,0,"Listening","듣는 것은"
12,1,"is also","또한"
12,2,"very important.","매우 중요하다"
13,0,"When people try","사람들이 노력할 때"
13,1,"to see the situation","그 상황을 보려고"
13,2,"from the other person’s","다른 사람의"
13,3,"point of view,","관점에서,"
13,4,"they show","그들은 보여준다"
13,5,"empathy.","공감을"
14,0,"Empathy means","공감이란 의미한다"
14,1,"understanding","이해하는 것을"
14,2,"how someone else","다른 누군가가"
14,3,"feels.","어떻게 느끼는지를"
15,0,"Psychology suggests","심리학은 제안한다"
15,1,"that empathy","공감이"
15,2,"can reduce anger","분노를 줄일 수 있고"
15,3,"and help rebuild","그리고 다시 세우는 것을 돕는다고"
15,4,"trust.","신뢰를"
16,0,"In conclusion,","결론적으로,"
16,1,"conflicts in relationships","인간관계에서의 갈등은"
16,2,"are common,","흔하지만,"
16,3,"but they can be solved","그것들은 해결될 수 있다"
16,4,"in healthy ways.","건강한 방식으로"
17,0,"By understanding emotions,","감정을 이해함으로써,"
17,1,"communicating clearly,","분명하게 소통하고,"
17,2,"and showing empathy,","그리고 공감을 보여줌으로써,"
17,3,"people can improve","사람들은 개선할 수 있다"
17,4,"their relationships","그들의 인간관계를"
17,5,"and grow emotionally.","그리고 감정적으로 성장할 수 있다"